RETOUR	AGE	INCOME	SEX	MARRIED	FICO	OWNHOME	LOC	BUY6	BUY12	BUY18	VALUE24	COA6	fin
OUI	54	68	M	1	702	1	A	0	0	0	121	0	0
NON	53	37	F	1	688	0	A	0	0	1	291	0	0
NON	47	83	M	1	656	0	A	0	0	0	245	0	0
NON	59	69	M	0	684	0	A	0	0	0	174	0	0
NON	47	46	F	0	716	1	A	0	0	0	76	0	0
OUI	60	59	F	1	659	0	A	0	0	0	122	0	0
NON	38	37	M	0	715	1	A	0	0	0	201	0	0
NON	44	53	M	1	650	0	A	1	1	1	334	0	0
NON	49	74	M	1	692	0	A	0	0	0	129	0	0
NON	62	53	M	0	641	0	A	0	0	0	245	0	0
NON	32	33	F	0	675	0	A	0	1	1	208	1	0
NON	56	32	F	1	699	0	A	0	0	0	211	0	0
NON	48	53	M	1	697	0	A	0	0	1	374	0	0
NON	49	25	F	1	705	1	A	0	0	0	230	0	0
NON	54	24	M	1	696	0	A	0	0	0	187	0	0
NON	48	33	F	1	678	0	A	0	0	0	242	0	0
OUI	61	42	F	1	738	0	A	0	0	0	145	0	0
NON	60	66	F	0	645	1	A	1	1	1	205	0	0
NON	39	77	M	1	690	0	A	1	1	2	463	0	0
NON	28	59	M	0	676	1	A	0	0	0	143	0	0
NON	42	58	F	1	740	1	A	0	0	0	179	0	0
NON	37	18	F	1	706	1	A	0	0	0	147	0	0
OUI	41	46	M	1	700	1	A	0	0	0	111	0	0
NON	59	26	F	1	654	1	A	0	0	0	144	0	0
NON	31	16	F	0	739	1	A	0	0	0	248	0	0
OUI	34	56	M	0	684	0	A	0	0	0	67	0	0
NON	51	26	M	0	660	0	A	0	0	0	87	0	0
NON	39	26	M	0	738	0	A	0	0	0	246	0	0
NON	62	37	F	1	687	0	A	0	1	1	445	1	0
NON	35	70	F	0	686	0	A	0	0	0	155	0	0
NON	34	54	F	0	690	0	A	0	0	0	308	0	0
NON	47	33	M	1	696	0	A	0	0	0	216	0	0
NON	22	54	M	0	676	1	A	0	0	0	185	0	0
NON	22	36	M	1	676	1	A	2	2	2	509	0	0
NON	30	31	M	0	636	0	A	1	1	2	259	1	0
NON	41	20	F	1	712	0	A	0	0	1	203	0	0
NON	43	32	M	1	683	0	A	0	0	0	202	0	0
NON	52	59	M	0	695	0	A	0	0	0	234	0	0
NON	33	55	M	0	697	0	A	0	0	0	170	0	0
NON	48	24	F	0	614	1	A	0	0	1	152	0	0
NON	41	36	F	1	709	0	A	0	1	1	322	0	0
NON	43	74	F	1	737	0	A	1	1	1	205	0	0
NON	38	65	M	0	713	0	A	0	0	0	85	0	0
NON	39	66	M	0	759	0	A	0	0	0	148	0	0
NON	57	51	M	1	738	0	A	0	0	1	344	0	0
OUI	53	67	M	0	663	1	A	0	0	1	293	0	0
NON	51	67	F	0	702	0	A	0	0	0	154	0	0
NON	54	61	M	1	708	1	A	0	0	0	243	0	0
OUI	32	38	M	0	652	0	A	0	0	0	104	0	0
NON	49	45	M	1	689	0	A	0	0	0	154	0	0
NON	33	79	F	0	738	0	A	1	1	1	410	1	0
NON	29	39	F	0	719	0	A	0	1	1	263	0	0
NON	47	66	F	1	683	0	A	0	0	0	95	0	0
NON	54	68	F	0	667	0	A	0	0	0	186	0	0
NON	24	57	F	1	744	0	A	0	0	1	727	0	0
OUI	38	76	F	0	645	0	A	0	0	0	69	0	0
NON	39	44	F	0	702	1	A	0	0	0	210	0	0
NON	42	32	F	1	666	0	A	0	0	0	145	0	0
NON	56	63	M	1	644	0	A	0	0	0	352	0	0
NON	39	33	M	0	697	0	A	0	0	0	138	0	0
NON	41	16	F	1	730	0	A	1	1	2	740	0	0
NON	49	44	F	0	712	0	A	0	0	1	182	0	0
NON	46	23	M	0	685	0	A	0	0	0	125	0	0
NON	38	31	M	0	743	0	A	1	1	1	410	0	0
NON	32	63	F	0	681	0	A	0	0	1	169	0	0
NON	23	53	M	0	636	0	A	0	0	0	183	0	0
NON	53	49	M	1	706	0	A	0	1	2	740	0	0
NON	37	77	M	0	677	0	A	0	0	0	62	0	0
NON	49	32	M	1	710	0	A	0	0	0	87	0	0
NON	38	73	M	1	697	0	A	0	0	0	141	0	0
NON	53	63	M	1	692	1	A	0	0	0	451	0	0
NON	45	56	M	1	700	0	A	1	1	1	257	0	0
NON	38	35	M	0	734	0	A	0	0	1	514	0	0
NON	37	48	F	0	733	0	A	0	0	0	167	0	0
NON	36	55	F	0	705	0	A	1	1	1	398	0	0
NON	51	28	M	1	740	0	A	1	1	1	431	0	0
NON	40	66	M	1	686	0	A	0	0	0	166	1	0
NON	42	52	F	1	674	0	A	0	0	0	92	1	0
NON	39	73	M	1	643	0	A	0	0	0	108	0	0
NON	38	44	M	0	694	0	A	0	0	0	246	0	0
NON	43	79	M	1	690	0	A	0	0	0	69	0	0
NON	52	32	F	1	699	0	A	0	0	1	456	0	0
OUI	38	51	F	0	723	0	A	0	1	2	618	0	0
NON	46	35	M	1	707	0	A	0	0	0	152	0	0
NON	34	56	M	0	652	1	A	1	1	1	513	0	0
NON	36	39	F	0	710	0	A	0	0	1	316	0	0
OUI	44	49		1	724	0	A	0	0	0	173	0	0
NON	49	30	M	1	673	0	A	0	0	1	495	0	0
NON	54	64	M	1	671	0	A	0	0	0	249	0	0
NON	53	72		1	751	0	A	0	0	0	83	0	0
NON	56	44		0	693	1	A	0	0	0	190	0	0
OUI	52	30	F	0	697	0	A	0	1	1	123	0	0
NON	49	41	M	0	682	0	A	0	0	0	459	1	0
NON	42	49		1	698	0	A	0	0	0	234	0	0
NON	47	30	M	1	714	0	A	0	0	0	175	0	0
NON	44	33		1	706	1	A	0	1	1	474	0	0
NON	35	67	F	0	665	0	A	0	1	2	463	0	0
NON	31	35	M	0	688	0	A	0	0	0	210	0	0
NON	49	44		1	690	1	A	0	0	0	144	0	0
NON	42	69	M	0	692	0	A	1	1	2	644	0	0
NON	48	37		1	658	0	A	1	1	1	165	0	0
NON	46	16		1	676	0	A	0	0	0	256	0	0
OUI	52	65	M	1	585	0	A	0	0	0	415	0	0
NON	20	60		1	718	1	A	0	0	0	180	0	0
NON	45	74	M	0	716	0	A	1	1	1	494	0	0
NON	38	70		0	706	0	A	0	0	1	125	0	0
NON	45	57	M	0	694	0	A	0	0	0	207	0	0
OUI	44	57	M	0	710	0	A	0	0	0	459	0	0
NON	30	30	M	0	647	0	A	0	0	0	217	0	0
NON	37	18	M	0	694	0	A	0	0	0	210	0	0
NON	36	65	M	0	698	0	A	0	0	0	197	0	0
NON	40	56	F	1	734	0	A	0	0	0	88	0	0
NON	50	30	M	1	712	0	A	0	0	0	206	0	0
NON	44	58	F	1	699	1	A	0	0	0	89	0	0
NON	44	51	M	1	685	0	A	1	2	2	529	0	0
NON	70	37	F	1	728	0	A	0	0	0	213	0	0
NON	49	43	M	1	690	1	A	0	0	0	146	0	0
OUI	31	52	F	0	722	0	A	0	0	0	256	0	0
NON	43	28	M	1	711	0	A	0	0	0	162	0	0
OUI	40	42	M	0	724	1	A	0	0	0	194	0	0
NON	70	66	M	1	657	0	A	0	0	0	239	0	0
OUI	20	69	M	1	716	1	A	0	0	0	344	0	0
NON	41	65	M	0	677	0	A	1	1	1	303	0	0
NON	63	36	F	0	704	0	A	0	0	0	134	0	0
NON	51	50	F	1	663	1	A	0	0	0	218	0	0
NON	47	52	M	1	713	0	A	1	2	2	311	0	0
NON	52	33	M	0	683	0	A	0	0	0	224	0	0
NON	42	65	M	0	704	0	A	0	0	0	156	0	0
NON	32	29	M	0	663	0	A	0	0	0	166	0	0
NON	63	29	M	1	714	0	A	0	0	0	162	0	0
OUI	46	58	F	0	691	0	A	0	1	1	429	0	0
NON	43	56	M	1	587	0	A	0	0	0	167	0	0
NON	41	41	F	1	657	1	A	0	1	2	610	0	0
NON	48	48	F	1	666	1	A	0	0	0	179	0	0
NON	44	32	M	0	693	0	A	0	0	0	159	1	0
NON	41	72	F	0	702	0	A	0	0	0	144	0	0
NON	50	36	F	1	702	0	A	0	0	0	229	0	0
NON	49	67	F	1	710	1	A	0	0	0	187	0	0
NON	46	50		1	699	1	A	1	1	1	267	0	0
NON	46	51	M	1	707	0	A	2	2	2	235	0	0
NON	32	29		0	715	0	A	0	0	0	246	0	0
NON	42	34	M	0	658	0	A	0	0	1	326	0	0
NON	39	29		0	689	0	A	0	0	0	227	0	0
NON	40	70	M	1	734	0	A	0	0	1	508	0	0
NON	75	54	M	1	709	1	A	0	0	0	324	0	0
OUI	37	30		1	717	0	A	0	0	0	135	0	0
NON	52	42	F	1	648	1	A	0	0	0	215	0	0
NON	48	55		1	748	1	A	1	1	1	234	0	0
NON	51	70	F	0	680	1	A	0	0	0	116	1	0
NON	60	70		1	696	0	A	0	0	0	122	0	0
NON	38	62		0	705	0	A	0	0	0	94	0	0
NON	30	21	F	0	705	1	A	0	0	0	421	0	0
NON	42	67		1	648	1	A	1	1	2	418	0	0
NON	54	29		0	722	0	A	0	0	0	79	0	0
NON	22	29		0	707	0	A	0	0	0	217	0	0
NON	26	67	M	1	712	1	A	0	1	1	429	0	0
NON	28	56	M	0	623	0	A	1	1	1	220	1	0
OUI	28	69	M	0	641	0	A	0	0	0	213	0	0
NON	45	43	M	1	670	0	A	0	0	0	206	0	0
NON	64	51	M	1	681	1	A	0	0	0	147	0	0
NON	40	71	M	0	672	0	A	0	0	0	115	0	0
NON	36	19	F	0	740	0	A	0	0	0	163	0	0
NON	47	66	M	1	681	0	A	0	0	0	479	0	0
NON	43	49	F	0	694	1	A	0	0	0	194	0	0
NON	42	71	M	1	684	0	A	0	0	0	341	0	0
NON	59	53	F	1	728	1	A	0	0	0	106	0	0
OUI	44	52	F	1	661	0	A	0	0	0	184	0	0
OUI	37	31	F	0	696	0	A	0	0	0	75	0	0
NON	18	52	F	0	622	0	A	0	0	0	118	0	0
NON	46	70	M	1	678	0	A	0	1	1	328	0	0
NON	53	53	M	0	648	0	A	0	0	0	247	0	0
NON	43	31	F	1	708	0	A	1	2	2	573	0	0
OUI	56	47	F	1	726	0	A	0	0	0	74	0	0
NON	36	68	M	0	707	1	A	1	1	1	432	0	0
NON	39	52	M	0	686	0	A	0	0	0	150	0	0
NON	48	34	M	1	751	0	A	0	1	1	437	0	0
NON	58	47	F	1	676	1	A	0	0	0	222	0	0
NON	74	35	F	1	679	0	A	0	0	0	122	0	0
NON	36	64	M	0	718	0	A	0	0	0	163	0	0
OUI	47	45	F	1	706	0	A	1	1	1	431	0	0
NON	36	66	F	0	744	1	A	0	0	1	517	0	0
OUI	45	56	M	1	727	1	A	0	0	0	89	0	0
NON	45	57	M	1	715	0	A	0	0	0	225	0	0
NON	55	33	M	1	689	1	A	0	0	0	228	0	0
NON	44	61	M	1	718	0	A	0	0	0	177	0	0
NON	18	57	M	1	750	0	A	0	0	0	225	1	0
NON	44	43		1	686	0	A	0	0	0	212	0	0
NON	46	69	M	1	746	0	A	0	1	1	398	0	0
NON	47	53		1	753	0	A	0	1	1	195	0	0
NON	40	67	M	1	699	0	A	0	1	1	424	0	0
NON	35	85		0	705	0	A	0	0	0	157	0	0
NON	54	48	F	1	708	0	A	2	2	2	620	0	0
NON	55	47		1	697	1	A	0	0	0	148	0	0
NON	43	81	F	1	663	0	A	1	1	1	748	0	0
NON	50	26	F	1	687	0	A	0	1	1	180	0	0
NON	54	59		1	701	0	A	0	0	0	174	0	0
NON	57	38		1	751	0	A	0	0	1	470	0	0
NON	47	54	M	1	667	0	A	0	0	0	78	0	0
NON	42	29		1	704	0	A	0	0	0	139	0	0
NON	67	78	M	1	725	0	A	0	0	0	94	0	0
NON	51	32		0	707	0	A	0	0	1	201	0	0
NON	36	36		0	736	0	A	0	0	0	235	0	0
NON	57	35	F	1	777	0	A	0	0	0	91	0	0
NON	27	53	F	1	694	0	A	0	0	1	410	0	0
NON	36	50	M	0	713	0	A	0	0	0	75	0	0
NON	46	70	M	1	679	0	A	0	0	1	419	0	0
OUI	53	71	F	1	707	0	A	0	0	1	405	0	0
OUI	39	34	M	0	728	1	A	1	1	1	208	0	0
NON	60	71	F	1	711	1	A	0	0	0	116	0	0
NON	56	68	M	1	650	0	A	0	0	0	107	0	0
NON	51	67	M	0	712	0	A	0	0	0	92	0	0
NON	44	48	F	0	747	1	A	1	1	1	234	0	0
NON	34	56		0	689	1	A	0	0	0	209	0	0
NON	49	66	M	1	691	0	A	0	0	0	158	0	0
NON	52	63		0	720	1	A	0	0	0	149	0	0
NON	62	61	F	1	639	1	A	0	0	0	233	0	0
NON	55	71	F	0	694	0	A	0	0	0	76	0	0
NON	45	73		1	671	0	A	0	1	1	259	0	0
NON	45	41	F	0	657	0	A	0	0	0	147	0	0
NON	51	62		1	636	0	A	0	0	0	242	0	0
NON	48	39	F	1	620	0	A	0	0	0	245	0	0
OUI	45	49		1	692	0	A	0	0	0	480	0	0
NON	53	32	F	0	703	0	A	0	0	0	127	0	0
OUI	43	44		1	673	1	A	1	2	2	221	0	0
OUI	55	61	M	1	691	0	A	0	0	0	145	0	0
NON	39	75		0	722	0	A	0	0	0	233	0	0
OUI	41	71		1	680	0	A	1	1	1	757	0	0
NON	55	70	M	0	684	1	A	0	0	0	92	0	0
NON	53	32		1	689	0	A	0	0	2	290	0	0
NON	59	67		0	641	0	A	0	0	0	194	0	0
NON	51	68	F	0	673	0	A	0	0	1	128	0	0
NON	39	27		0	745	0	A	0	0	0	255	0	0
OUI	28	70	M	1	720	0	A	0	0	1	316	0	0
NON	49	55	M	1	675	0	A	0	0	1	171	0	0
OUI	41	49	F	1	665	0	A	0	0	1	427	0	0
NON	36	49	F	0	713	1	A	0	0	0	241	1	0
NON	51	65	F	1	704	0	A	0	0	0	71	0	0
NON	28	73	M	0	724	0	A	1	1	1	493	0	0
NON	53	64	M	1	704	0	A	1	1	1	135	0	0
NON	53	15	M	1	690	1	A	0	0	0	74	0	0
NON	41	37	F	0	678	0	A	0	0	0	64	0	0
NON	34	42	M	0	696	0	A	0	1	1	475	0	0
NON	56	45		1	717	0	A	0	1	1	513	0	0
OUI	41	69	F	1	695	0	A	0	0	0	196	0	0
NON	48	54	M	1	684	0	A	0	0	0	210	0	0
NON	43	61		1	688	0	A	0	0	0	154	0	0
NON	32	66	F	0	651	0	A	0	0	0	161	0	0
NON	48	30	M	1	654	0	A	0	0	0	165	0	0
NON	46	67	M	0	677	0	A	0	0	1	335	0	0
NON	44	71		0	701	0	A	0	0	0	206	0	0
NON	29	57		0	700	0	A	0	0	0	101	0	0
NON	31	36		0	662	0	A	0	0	0	166	0	0
NON	41	57		0	735	0	A	0	0	0	186	0	0
NON	50	59	F	1	665	0	A	0	0	0	193	0	0
NON	61	55		1	672	0	A	0	0	0	88	0	0
NON	37	52	F	0	704	1	A	0	0	0	236	0	0
NON	33	23		0	621	1	A	0	1	1	204	0	0
NON	45	29	F	1	736	0	A	0	0	1	392	0	0
NON	25	16	F	1	733	1	A	1	1	1	333	0	0
NON	27	63	F	0	686	1	A	0	0	0	450	0	0
OUI	75	65	M	1	668	1	A	0	0	0	107	0	0
NON	47	30	F	1	706	0	A	0	0	0	183	0	0
NON	33	61	M	0	703	0	A	0	0	0	81	0	0
NON	48	50	M	1	674	0	A	0	0	0	82	0	0
NON	36	72	F	0	746	0	A	1	1	2	662	1	0
NON	38	29	M	0	695	0	A	1	1	1	271	0	0
NON	66	65	M	0	692	0	A	0	0	0	214	0	0
NON	32	64	F	1	657	0	A	1	1	1	174	0	0
NON	44	58	F	1	695	1	A	0	0	0	106	0	0
NON	49	68	F	1	643	0	A	0	0	1	292	0	0
NON	43	38	F	1	710	0	A	0	0	0	200	0	0
OUI	48	70	M	1	728	1	A	0	0	0	210	0	0
NON	51	49	M	0	673	0	A	0	0	0	203	0	0
NON	32	29	M	1	729	1	A	0	0	0	123	0	0
OUI	59	48	F	0	674	0	A	1	1	1	448	0	0
NON	33	49	F	0	709	1	A	1	1	1	154	0	0
OUI	31	52	F	0	692	0	A	0	0	0	93	0	0
NON	34	58	F	0	713	0	A	0	0	0	74	0	0
NON	54	25	F	1	694	0	A	0	0	0	62	0	0
NON	30	38	F	0	695	1	A	0	0	1	198	0	0
OUI	39	87	F	0	722	0	A	0	0	1	211	0	0
NON	34	68	M	1	631	0	A	0	0	2	388	0	0
NON	40	19	F	1	725	1	A	0	0	0	470	0	0
NON	44	67	M	1	692	1	A	0	0	0	227	0	0
NON	38	51	M	0	665	0	A	1	1	1	187	0	0
NON	37	59	M	0	701	0	A	0	0	0	114	0	0
NON	50	64	M	1	652	0	A	0	1	1	333	0	0
NON	38	51	M	0	685	0	A	0	0	0	84	0	0
NON	50	56	M	1	716	0	A	0	0	0	68	0	0
NON	46	67	M	1	673	0	A	0	0	0	150	0	0
NON	33	33	F	0	695	0	A	0	1	1	462	0	0
OUI	38	58	M	0	656	0	A	0	0	1	211	0	0
NON	47	61	F	1	671	1	A	0	0	0	217	0	0
NON	32	66	M	0	696	0	A	0	0	0	79	0	0
NON	63	32	M	0	657	0	A	0	0	0	99	0	0
NON	35	43	F	0	625	1	A	0	0	0	220	0	0
NON	37	57	M	1	688	1	A	0	0	1	495	0	0
NON	56	24	M	1	667	0	A	0	0	1	421	0	0
NON	47	32	F	0	646	0	A	0	0	0	102	1	0
NON	18	61	F	0	692	0	A	0	0	0	122	0	0
NON	44	70	M	1	706	0	A	0	0	1	235	0	0
NON	35	60	M	1	642	0	A	0	0	0	258	0	0
OUI	44	20	M	0	688	0	A	0	0	0	197	1	0
OUI	22	50	M	0	654	0	A	0	0	0	245	0	0
NON	39	38	M	0	701	0	A	0	0	0	217	0	0
NON	41	54	F	1	700	0	A	0	0	1	165	0	0
OUI	36	30	M	0	661	0	A	0	0	0	117	0	0
NON	36	47	F	0	765	0	A	0	1	1	121	0	0
NON	43	60	F	1	750	1	A	1	1	1	491	0	0
NON	40	61	M	0	729	0	A	0	0	0	203	0	0
NON	37	22	M	0	697	1	A	0	0	0	254	0	0
NON	49	62	M	0	724	0	A	0	0	0	245	0	0
NON	32	38	M	0	710	0	A	0	0	0	100	0	0
OUI	52	67	M	0	711	0	A	0	0	0	162	0	0
NON	40	68	F	1	718	0	A	0	0	0	147	0	0
NON	38	67	F	1	683	0	A	0	0	0	184	0	0
NON	35	34	M	0	676	0	A	0	0	0	199	0	0
NON	48	65	M	1	741	0	A	0	0	0	102	0	0
NON	44	73	M	1	670	0	A	0	0	0	160	0	0
NON	36	53	M	0	702	0	A	0	0	0	101	0	0
OUI	41	36	M	1	601	1	A	0	0	0	61	0	0
NON	39	65	M	0	680	0	A	0	0	0	131	0	0
NON	41	20	M	1	685	0	A	0	0	1	359	0	0
NON	37	22	M	0	652	0	A	0	0	0	237	0	0
NON	37	30	M	0	731	0	A	0	0	0	118	0	0
NON	43	37	M	1	649	1	A	0	0	0	147	0	0
NON	53	36	F	1	664	0	A	0	0	1	186	0	0
OUI	42	59	M	1	692	0	A	1	1	1	371	0	0
NON	47	20	M	1	671	0	A	0	0	0	213	0	0
OUI	70	48	M	0	679	1	A	0	0	1	257	0	0
NON	24	28	F	0	730	0	A	1	1	1	540	0	0
NON	37	60	F	0	761	0	A	0	0	0	157	0	0
NON	40	65	M	1	710	0	A	0	0	1	335	0	0
NON	50	19	F	1	689	0	A	0	1	1	205	0	0
NON	41	61	F	1	704	0	A	0	0	0	214	0	0
NON	39	78	M	0	741	0	A	0	0	0	212	0	0
NON	44	50	F	1	732	1	A	0	0	0	184	0	0
NON	49	31	F	1	713	0	A	0	0	0	64	0	0
NON	35	36	M	0	649	0	A	0	0	0	220	0	0
OUI	61	61	F	0	671	0	A	0	0	0	394	0	0
NON	54	33	M	1	674	0	A	0	0	0	365	0	0
NON	41	52	F	1	741	0	A	0	0	0	182	0	0
NON	51	33	F	1	667	0	A	0	0	0	106	0	0
OUI	24	16	M	0	664	0	A	0	0	0	248	0	0
NON	41	51	F	1	687	1	A	0	0	1	401	0	0
NON	47	75	F	1	687	0	A	1	1	1	183	0	0
OUI	72	60	M	0	687	1	A	1	2	2	437	0	0
NON	36	31	M	0	705	0	A	0	0	0	73	0	0
NON	59	29	F	1	742	0	A	0	0	0	90	0	0
NON	52	17	F	1	679	0	A	0	0	1	163	0	0
NON	60	76	F	1	723	0	A	0	0	0	242	0	0
OUI	41	55	M	1	637	0	A	0	0	1	165	0	0
NON	35	72	M	0	683	0	A	0	0	0	251	0	0
NON	59	52	F	1	659	0	A	0	0	0	112	0	0
NON	60	44	M	0	698	0	A	0	0	0	193	0	0
NON	44	37	F	1	716	0	A	0	0	0	85	0	0
OUI	35	69	M	0	722	1	A	0	0	1	346	0	0
NON	42	68	M	1	718	0	A	0	0	0	239	0	0
NON	43	66	F	0	712	1	A	0	0	0	136	0	0
NON	39	50	M	0	704	0	A	0	0	0	96	0	0
NON	40	40	M	1	677	0	A	0	0	0	149	0	0
NON	41	52	F	1	694	0	A	0	0	0	131	0	0
OUI	55	55	M	0	670	0	A	0	0	1	158	0	0
NON	41	59	F	1	701	0	A	0	0	0	97	0	0
NON	59	68	F	0	748	0	A	0	1	1	629	0	0
NON	56	70	M	1	743	0	A	0	0	0	147	0	0
NON	35	39	M	0	695	0	A	0	0	0	216	0	0
NON	28	38	F	0	629	0	A	0	0	0	160	0	0
OUI	49	20	M	1	658	0	A	0	1	2	408	0	0
NON	38	44	F	0	716	0	A	0	0	0	229	0	0
NON	41	45	F	1	689	0	A	0	0	0	145	0	0
NON	48	65	M	1	694	0	A	0	0	0	82	0	0
NON	49	58	M	1	731	0	A	1	1	2	637	0	0
NON	43	24	F	1	703	0	A	0	0	2	741	0	0
NON	32	25	F	1	679	0	A	0	0	0	207	0	0
NON	41	56	M	1	708	0	A	1	1	1	475	0	0
NON	64	37	M	1	682	0	A	1	1	1	291	0	0
NON	44	30	F	0	700	0	A	0	1	1	376	0	0
NON	38	46	F	0	675	0	A	0	0	0	148	0	0
OUI	53	21	M	0	696	1	A	0	0	0	63	0	0
NON	43	66	F	1	641	1	A	0	0	0	215	0	0
NON	49	29	M	1	660	1	A	0	0	0	286	0	0
NON	29	51	F	0	673	0	A	1	1	1	250	0	0
NON	50	44	F	1	698	1	A	0	0	0	173	0	0
NON	63	70	F	1	749	0	A	0	0	0	475	0	0
NON	38	44	M	0	675	0	A	1	1	1	461	0	0
NON	50	40	F	1	677	1	A	1	1	1	215	0	0
NON	56	44	F	1	694	1	A	0	0	0	259	0	0
NON	46	41	F	1	691	0	A	0	0	0	213	0	0
NON	36	53	M	0	660	0	A	0	0	0	143	0	0
NON	26	24	F	1	678	0	A	0	0	1	395	0	0
NON	49	47	M	0	652	1	A	0	0	0	132	0	0
NON	62	27	F	1	692	0	A	0	0	0	233	0	0
NON	51	50	F	1	700	0	A	1	1	1	407	0	0
NON	52	57	M	1	699	0	A	0	0	0	231	0	0
NON	44	17	M	1	751	0	A	1	1	1	494	0	0
NON	43	55	M	0	745	0	A	0	0	0	144	0	0
NON	55	50	M	1	699	1	A	0	0	1	229	0	0
NON	56	43	M	1	671	0	A	0	1	1	435	0	0
NON	46	57	M	1	720	0	A	0	0	0	209	0	0
NON	39	19	M	0	699	0	A	0	0	0	72	0	0
OUI	48	41	M	1	708	0	A	1	1	1	121	0	0
NON	34	46	M	0	635	1	A	0	0	0	116	0	0
NON	46	54	M	0	717	0	A	0	0	1	194	0	0
OUI	50	25	M	1	750	0	A	0	0	0	334	0	0
NON	33	64	M	0	712	0	A	1	1	2	381	0	0
OUI	47	53	M	1	730	0	A	1	1	1	483	0	0
NON	35	34	M	0	698	0	A	0	1	1	310	0	0
NON	42	31	M	1	688	0	A	0	1	1	123	0	0
NON	45	53	F	1	750	0	A	0	0	0	242	0	0
NON	34	70	M	0	707	0	A	0	0	0	148	0	0
